mV,log |µA/cm2|
1.73E+02,-0.619532058
1.74E+02,-0.625073208
1.74E+02,-0.621844936
1.75E+02,-0.621250808
1.75E+02,-0.612087555
1.76E+02,-0.618878238
1.76E+02,-0.617032515
1.77E+02,-0.613025266
1.78E+02,-0.612407135
1.78E+02,-0.609946735
1.79E+02,-0.610156059
1.80E+02,-0.603423905
1.80E+02,-0.607812014
1.81E+02,-0.604955946
1.81E+02,-0.602670343
1.82E+02,-0.602475723
1.82E+02,-0.599672215
1.83E+02,-0.596947632
1.84E+02,-0.598283849
1.84E+02,-0.593812167
1.85E+02,-0.590563811
1.85E+02,-0.591410704
1.86E+02,-0.593495416
1.87E+02,-0.59221934
1.87E+02,-0.591091803
1.88E+02,-0.588300512
1.88E+02,-0.582307811
1.89E+02,-0.576671536
1.90E+02,-0.579171092
1.90E+02,-0.576930994
1.91E+02,-0.579429904
1.91E+02,-0.5781507
1.92E+02,-0.575159182
1.93E+02,-0.570051121
1.93E+02,-0.572325835
1.94E+02,-0.575394048
1.94E+02,-0.563827331
1.95E+02,-0.579222842
1.96E+02,-0.569555338
1.96E+02,-0.564304033
1.97E+02,-0.566640981
1.97E+02,-0.561737145
1.98E+02,-0.564733273
1.99E+02,-0.563706607
1.99E+02,-0.558549803
2.00E+02,-0.556245716
2.00E+02,-0.557140037
2.01E+02,-0.556869747
2.02E+02,-0.54939944
2.02E+02,-0.553057618
2.03E+02,-0.552877024
2.04E+02,-0.545277217
2.04E+02,-0.542508993
2.05E+02,-0.54553642
2.05E+02,-0.54491444
2.06E+02,-0.535575885
2.07E+02,-0.540026128
2.07E+02,-0.538168752
2.08E+02,-0.535240779
2.08E+02,-0.5339607
2.09E+02,-0.53717361
2.09E+02,-0.53584696
2.10E+02,-0.531928106
2.11E+02,-0.529210659
2.11E+02,-0.530952897
2.12E+02,-0.528985974
2.12E+02,-0.526416693
2.13E+02,-0.529101239
2.14E+02,-0.522899592
2.14E+02,-0.520827358
2.15E+02,-0.519374987
2.15E+02,-0.522901474
2.16E+02,-0.517287878
2.17E+02,-0.514939033
2.17E+02,-0.515826765
2.18E+02,-0.517046708
2.18E+02,-0.510262659
2.19E+02,-0.519814774
2.20E+02,-0.513346976
2.20E+02,-0.502857406
2.21E+02,-0.51101746
2.21E+02,-0.503771459
2.22E+02,-0.504266307
2.23E+02,-0.496836842
2.23E+02,-0.501159241
2.24E+02,-0.502900817
2.24E+02,-0.493497268
2.25E+02,-0.497779424
2.26E+02,-0.489092425
2.26E+02,-0.496320015
2.27E+02,-0.490174584
2.28E+02,-0.480422946
2.28E+02,-0.485592785
2.29E+02,-0.47678268
2.29E+02,-0.490722726
2.30E+02,-0.477626329
2.30E+02,-0.483695915
2.31E+02,-0.477866927
2.32E+02,-0.475032465
2.32E+02,-0.475366606
2.33E+02,-0.47319798
2.33E+02,-0.470514464
2.34E+02,-0.470108517
2.35E+02,-0.468508565
2.35E+02,-0.468946389
2.36E+02,-0.465661238
2.36E+02,-0.460846714
2.37E+02,-0.462792873
2.38E+02,-0.460710572
2.38E+02,-0.459925294
2.39E+02,-0.459781178
2.40E+02,-0.457109123
2.40E+02,-0.453009824
2.41E+02,-0.452108063
2.41E+02,-0.450382168
2.42E+02,-0.453008222
2.42E+02,-0.448749262
2.43E+02,-0.442667152
2.44E+02,-0.453311404
2.44E+02,-0.444135151
2.45E+02,-0.44396769
2.46E+02,-0.439269476
2.46E+02,-0.445129652
2.47E+02,-0.437338677
2.47E+02,-0.437049648
2.48E+02,-0.434113474
2.48E+02,-0.434281781
2.49E+02,-0.432183913
2.50E+02,-0.428623012
2.50E+02,-0.429701828
2.51E+02,-0.427966675
2.52E+02,-0.426974216
2.52E+02,-0.419642714
2.53E+02,-0.418328019
2.53E+02,-0.422614604
2.54E+02,-0.421347842
2.54E+02,-0.416658375
2.55E+02,-0.417416705
2.56E+02,-0.413883023
2.56E+02,-0.415642651
2.57E+02,-0.41271647
2.57E+02,-0.403622636
2.58E+02,-0.405826531
2.59E+02,-0.406069617
2.59E+02,-0.405069501
2.60E+02,-0.399963642
2.61E+02,-0.402255027
2.61E+02,-0.401720445
2.62E+02,-0.397989304
2.62E+02,-0.393590579
2.63E+02,-0.393320751
2.63E+02,-0.39289942
2.64E+02,-0.390462576
2.65E+02,-0.387581422
2.65E+02,-0.391762558
2.66E+02,-0.388747769
2.66E+02,-0.385061043
2.67E+02,-0.378987181
2.68E+02,-0.381871854
2.68E+02,-0.377848172
2.69E+02,-0.377807433
2.69E+02,-0.377215446
2.70E+02,-0.37430488
2.71E+02,-0.372846836
2.71E+02,-0.369193935
2.72E+02,-0.369304206
2.72E+02,-0.36686891
2.73E+02,-0.365915485
2.74E+02,-0.366352309
2.74E+02,-0.356915544
2.75E+02,-0.358249734
2.75E+02,-0.353337245
2.76E+02,-0.356325495
2.77E+02,-0.355093786
2.77E+02,-0.356831583
2.78E+02,-0.351145175
2.78E+02,-0.350153054
2.79E+02,-0.35022941
2.80E+02,-0.349588628
2.80E+02,-0.34738626
2.81E+02,-0.340906317
2.81E+02,-0.351442308
2.82E+02,-0.341755197
2.83E+02,-0.341414664
2.83E+02,-0.34022447
2.84E+02,-0.338029332
2.84E+02,-0.334170791
2.85E+02,-0.332228121
2.86E+02,-0.332543124
2.86E+02,-0.328616728
2.87E+02,-0.328233071
2.87E+02,-0.326112108
2.88E+02,-0.327645707
2.89E+02,-0.323617091
2.89E+02,-0.322568808
2.90E+02,-0.321594625
2.90E+02,-0.320302979
2.91E+02,-0.317235615
2.92E+02,-0.317312349
2.92E+02,-0.316095671
2.93E+02,-0.310828112
2.93E+02,-0.310082756
2.94E+02,-0.308099163
2.95E+02,-0.307811805
2.95E+02,-0.302762896
2.96E+02,-0.301264491
2.97E+02,-0.302900965
2.97E+02,-0.299037859
2.98E+02,-0.299183744
2.98E+02,-0.295266067
2.99E+02,-0.294652105
2.99E+02,-0.292350977
3.00E+02,-0.291197836
3.01E+02,-0.289311655
3.01E+02,-0.288500765
3.02E+02,-0.285667977
3.03E+02,-0.283226217
3.03E+02,-0.287493151
3.04E+02,-0.281982782
3.04E+02,-0.274961671
3.05E+02,-0.273801436
3.05E+02,-0.274502941
3.06E+02,-0.275564454
3.07E+02,-0.269125467
3.07E+02,-0.272679362
3.08E+02,-0.268536868
3.08E+02,-0.267211774
3.09E+02,-0.262934642
3.10E+02,-0.261245912
3.10E+02,-0.259202444
3.11E+02,-0.256223783
3.12E+02,-0.254790645
3.12E+02,-0.258702373
3.13E+02,-0.252671485
3.13E+02,-0.252352541
3.14E+02,-0.248420767
3.14E+02,-0.250683035
3.15E+02,-0.246452636
3.16E+02,-0.24656786
3.16E+02,-0.245369006
3.17E+02,-0.241449237
3.17E+02,-0.240362142
3.18E+02,-0.239451243
3.19E+02,-0.23750667
3.19E+02,-0.23390987
3.20E+02,-0.23158976
3.20E+02,-0.23103922
3.21E+02,-0.229503519
3.22E+02,-0.224820128
3.22E+02,-0.223338616
3.23E+02,-0.221742795
3.23E+02,-0.219361371
3.24E+02,-0.21750731
3.25E+02,-0.215433342
3.25E+02,-0.215401677
3.26E+02,-0.212975881
3.26E+02,-0.211187597
3.27E+02,-0.212705127
3.28E+02,-0.210616104
3.28E+02,-0.209679854
3.29E+02,-0.206799875
3.29E+02,-0.202696096
3.30E+02,-0.200899896
3.31E+02,-0.200782656
3.31E+02,-0.198550942
3.32E+02,-0.196168092
3.32E+02,-0.195608109
3.33E+02,-0.19453734
3.34E+02,-0.185521264
3.34E+02,-0.17584975
3.35E+02,-0.120108089
3.35E+02,-0.108039158
3.36E+02,-0.118176306
3.37E+02,-0.121004071
3.37E+02,-0.123864637
3.38E+02,-0.12289951
3.38E+02,-0.115118748
3.39E+02,-0.113711241
3.40E+02,-0.115481665
3.40E+02,-0.113960781
3.41E+02,-0.113720156
3.41E+02,-0.123957587
3.42E+02,-0.152966657
3.43E+02,-0.150804671
3.43E+02,-0.153031331
3.44E+02,-0.151933858
3.44E+02,-0.149752899
3.45E+02,-0.150133929
3.46E+02,-0.148373452
3.46E+02,-0.150883408
3.47E+02,-0.139714771
3.47E+02,-0.120956732
3.48E+02,-0.115830879
3.49E+02,-0.106538965
3.49E+02,-0.125446463
3.50E+02,-0.133439348
3.50E+02,-0.112427538
3.51E+02,-0.109106936
3.52E+02,-0.109420998
3.52E+02,-0.117782764
3.53E+02,-0.112033998
3.53E+02,-0.119661935
3.54E+02,-0.11319275
3.55E+02,-0.101474025
3.55E+02,-0.104988958
3.56E+02,-0.090598194
3.56E+02,-0.083109082
3.57E+02,-0.069037935
3.58E+02,-0.055397469
3.58E+02,-0.060140384
3.59E+02,-0.059599226
3.59E+02,-0.065721933
3.60E+02,-0.062584525
3.61E+02,-0.099676795
3.61E+02,-0.10601732
3.62E+02,-0.104757563
3.62E+02,-0.1025135
3.63E+02,-0.099998433
3.64E+02,-0.09456719
3.64E+02,-0.009921889
3.65E+02,-0.027693832
3.65E+02,-0.034944516
3.66E+02,-0.027557671
3.67E+02,-0.024897967
3.67E+02,-0.050907611
3.68E+02,-0.080811726
3.68E+02,-0.081462181
3.69E+02,-0.081061532
3.70E+02,-0.078708158
3.70E+02,-0.077069014
3.71E+02,-0.075885001
3.71E+02,-0.073513704
3.72E+02,-0.071291804
3.73E+02,-0.070830226
3.73E+02,-0.068538214
3.74E+02,-0.066168248
3.74E+02,-0.064870362
3.75E+02,-0.063004578
3.76E+02,-0.061002364
3.76E+02,-0.057556828
3.77E+02,-0.05670487
3.77E+02,-0.055053078
3.78E+02,-0.031657963
3.79E+02,0.013640138
3.79E+02,0.010191794
3.80E+02,0.015498909
3.80E+02,-0.018631544
3.81E+02,0.006650846
3.82E+02,0.023347953
3.82E+02,0.031961585
3.83E+02,0.053052308
3.83E+02,0.038130759
3.84E+02,0.030339796
3.85E+02,0.043233346
3.85E+02,0.047204362
3.86E+02,0.047039155
3.86E+02,0.036721492
3.87E+02,0.039789948
3.88E+02,0.019331514
3.88E+02,0.009634858
3.89E+02,-0.016222165
3.89E+02,-0.014564319
3.90E+02,-0.014769924
3.91E+02,-0.008834818
3.91E+02,-0.005416544
3.92E+02,-0.009060343
3.92E+02,-0.003920868
3.93E+02,-0.00305167
3.94E+02,-0.000806016
3.94E+02,0.001824974
3.95E+02,0.004387588
3.95E+02,0.005108839
3.96E+02,0.007538259
3.97E+02,0.010316073
3.97E+02,0.012504841
3.98E+02,0.013664126
3.98E+02,0.014118399
3.99E+02,0.017372291
4.00E+02,0.01907556
4.00E+02,0.020417223
4.01E+02,0.02215319
4.01E+02,0.024484847
4.02E+02,0.026378394
4.03E+02,0.027951087
4.03E+02,0.029940292
4.04E+02,0.032181023
4.04E+02,0.033827301
4.05E+02,0.036624904
4.06E+02,0.041150202
4.06E+02,0.041950987
4.07E+02,0.055503708
4.07E+02,0.078818096
4.08E+02,0.09397121
4.09E+02,0.112033609
4.09E+02,0.121921114
4.10E+02,0.12858374
4.10E+02,0.135627751
4.11E+02,0.151082882
4.12E+02,0.165670397
4.12E+02,0.171943985
4.13E+02,0.225330996
4.13E+02,0.253410462
4.14E+02,0.260509041
4.15E+02,0.262965531
4.15E+02,0.264128306
4.16E+02,0.264295648
4.16E+02,0.264655877
4.17E+02,0.262489059
4.18E+02,0.259832938
4.18E+02,0.261130061
4.19E+02,0.266455609
4.19E+02,0.281960993
4.20E+02,0.361846024
4.21E+02,0.378798031
4.21E+02,0.51233279
4.22E+02,0.553420949
4.22E+02,0.585004763
4.23E+02,0.610548275
4.23E+02,0.636660978
4.24E+02,0.683183973
4.25E+02,0.726526067
4.25E+02,0.750141674
4.26E+02,0.802045415
4.27E+02,0.823082797
4.27E+02,0.836515771
4.28E+02,0.850073066
4.28E+02,0.871218175
4.29E+02,0.890352376
4.30E+02,0.922804786
4.30E+02,0.934668449
4.31E+02,0.953601404
